"","release","releaseid","releasedate","songs_rated","rating"
"1","the argument",9,"16/10/2001",10,0.801148755495545
"2","end hits",8,"24/04/1998",13,0.795397106231165
"3","repeater",4,"01/03/1990",11,0.7762419466119
"4","red medicine",7,"12/05/1995",13,0.734209795401075
"5","fugazi",1,"19/11/1988",7,0.733449334113318
"6","in on the killtaker",6,"18/06/1993",12,0.729146981482225
"7","margin walker",2,"15/06/1989",6,0.696187089723245
"8","3 songs",3,"01/12/1989",3,0.642781481943048
"9","steady diet of nothing",5,"01/08/1991",11,0.628934815158442
"10","furniture",10,"16/10/2001",3,0.573983534470408
