country,city,venue,venue_corrected
Canada,Toronto,Rivoli,Rivoli Theater
Netherlands,Amsterdam,Vrankrijk,Vranckrijk
England,Birmingham,Edwards No. 8,Edward's #8
USA,Lincoln,University of Nebraska Centennial Ballroom,University of Nebraska Centennial Hall
USA,Orlando,Visage (Edge),Edge
USA,Rapid City,Surbeck Center at SD School of Mines and Technology,Surbeck City School of Mines and Technology
Brazil,Santos,Bar Do Três,Bar do 3
England,Canterbury,Kent Institute of Art and Design,Arts College
