country,city,venue,googlemaps_hyperlink,find1,find2,find3,y,x,test_coordinates
New Zealand,Auckland,Powerstation,"https://www.google.com/maps/?q=-36.8662425,174.7611804",31,43,54,-36.8662425,174.761180,"-36.8662425, 174.761180"
New Zealand,Christchurch,Caledonian Hall,"https://www.google.com/maps/?q=-43.5264607,172.6373735",31,43,54,-43.5264607,172.637373,"-43.5264607, 172.637373"
New Zealand,Dunedin,Room,"https://www.google.com/maps/?q=-45.8756827,170.5036519",31,43,54,-45.8756827,170.503651,"-45.8756827, 170.503651"
New Zealand,Dunedin,Sammy's,"https://www.google.com/maps/?q=-45.8802642,170.502441",31,43,53,-45.8802642,170.50244,"-45.8802642, 170.50244"
New Zealand,Nelson,Nelson Arts Centre,"https://www.google.com/maps/?q=-41.2765603,173.2865127",31,43,54,-41.2765603,173.286512,"-41.2765603, 173.286512"
New Zealand,Wellington,Student Union,"https://www.google.com/maps/?q=-41.2886124,174.769458",31,43,53,-41.2886124,174.76945,"-41.2886124, 174.76945"
New Zealand,Wellington,Victoria University,"https://www.google.com/maps/?q=-41.2886124,174.769458",31,43,53,-41.2886124,174.76945,"-41.2886124, 174.76945"
Northern Ireland,Belfast,Arts Centre,"https://www.google.com/maps/?q=54.5877956,-5.9353633",31,42,52,54.5877956,-5.935363,"54.5877956, -5.935363"
Northern Ireland,Belfast,Belfast Art College,"https://www.google.com/maps/?q=54.6045698,-5.9289464",31,42,52,54.6045698,-5.928946,"54.6045698, -5.928946"
Northern Ireland,Belfast,Queen's Hall,"https://www.google.com/maps/?q=54.5846991,-5.9374134",31,42,52,54.5846991,-5.937413,"54.5846991, -5.937413"
Northern Ireland,Belfast,Queen's University Mandela Hall,"https://www.google.com/maps/?q=54.5848401,-5.9396578",31,42,52,54.5848401,-5.939657,"54.5848401, -5.939657"
Northern Ireland,Derry,Nerve Centre,"https://www.google.com/maps/?q=54.9964781,-7.3245201",31,42,52,54.9964781,-7.324520,"54.9964781, -7.324520"
Norway,Bergen,Kvarteret,"https://www.google.com/maps/?q=60.3896713,5.3218932",31,42,51,60.3896713,5.321893,"60.3896713, 5.321893"
Norway,Oslo,Blitz,"https://www.google.com/maps/?q=59.9185243,10.7373785",31,42,52,59.9185243,10.737378,"59.9185243, 10.737378"
Norway,Oslo,Rockefeller Music Hall,"https://www.google.com/maps/?q=59.916054,10.7508699",31,41,51,59.916054,10.750869,"59.916054, 10.750869"
Norway,Oslo,Sentrum Scene,"https://www.google.com/maps/?q=59.9155143,10.7513616",31,42,52,59.9155143,10.751361,"59.9155143, 10.751361"
Norway,Tromso,Brigga Lillero Cafe,"https://www.google.com/maps/?q=69.6520643,18.962203",31,42,51,69.6520643,18.96220,"69.6520643, 18.96220"
Norway,Trondheim,UFFA,"https://www.google.com/maps/?q=63.4362807,10.4300124",31,42,52,63.4362807,10.430012,"63.4362807, 10.430012"
Norway,Trondheim,Uffa,"https://www.google.com/maps/?q=63.4362807,10.4300124",31,42,52,63.4362807,10.430012,"63.4362807, 10.430012"
Poland,Pila,Sports Gym,"https://www.google.com/maps/?q=53.1543898,16.7544597",31,42,52,53.1543898,16.754459,"53.1543898, 16.754459"
Poland,Poznan,Eskulap,"https://www.google.com/maps/?q=52.4058011,16.8892084",31,42,52,52.4058011,16.889208,"52.4058011, 16.889208"
Poland,Warsaw,Karuzela University,"https://www.google.com/maps/?q=52.2405629,20.9182729",31,42,52,52.2405629,20.918272,"52.2405629, 20.918272"
Poland,Wroclaw,Kazamaty,"https://www.google.com/maps/?q=51.1046168,17.0382506",31,42,52,51.1046168,17.038250,"51.1046168, 17.038250"
Poland,Zgorzelec,Cultural Center / Military Museum,"https://www.google.com/maps/?q=51.147087,15.0025559",31,41,51,51.147087,15.002555,"51.147087, 15.002555"
Portugal,Lisbon,Gartejo,"https://www.google.com/maps/?q=38.7042177,-9.1755975",31,42,52,38.7042177,-9.175597,"38.7042177, -9.175597"
Scotland,Aberdeen,Lemon Tree,"https://www.google.com/maps/?q=57.1499139,-2.0948689",31,42,52,57.1499139,-2.094868,"57.1499139, -2.094868"
Scotland,Edinburgh,Calton Studios,"https://www.google.com/maps/?q=55.9526116,-3.1793124",31,42,52,55.9526116,-3.179312,"55.9526116, -3.179312"
Scotland,Edinburgh,Liquid Room,"https://www.google.com/maps/?q=55.9484736,-3.1936513",31,42,52,55.9484736,-3.193651,"55.9484736, -3.193651"
Scotland,Glasgow,Barrowland Ballroom,"https://www.google.com/maps/?q=55.8552688,-4.2366753",31,42,52,55.8552688,-4.236675,"55.8552688, -4.236675"
Scotland,Glasgow,Glasgow School of Art,"https://www.google.com/maps/?q=55.8660481,-4.2637578",31,42,52,55.8660481,-4.263757,"55.8660481, -4.263757"
Scotland,Glasgow,Mayfair,"https://www.google.com/maps/?q=55.8661649,-4.268932",31,42,51,55.8661649,-4.26893,"55.8661649, -4.26893"
Singapore,Singapore,Bukit Batok Community Center,"https://www.google.com/maps/?q=1.3498247,103.7473373",31,41,52,1.3498247,103.747337,"1.3498247, 103.747337"
Singapore,Singapore,Fire Club,"https://www.google.com/maps/?q=1.3009768,103.8410562",31,41,52,1.3009768,103.841056,"1.3009768, 103.841056"
Slovenia,Ljubljana,Metelkova,"https://www.google.com/maps/?q=46.0572838,14.5166037",31,42,52,46.0572838,14.516603,"46.0572838, 14.516603"
Slovenia,Ljubljana,Sports Hall,"https://www.google.com/maps/?q=46.0503433,14.5329977",31,42,52,46.0503433,14.532997,"46.0503433, 14.532997"
Slovenia,Ljubljana,University Student Bar,"https://www.google.com/maps/?q=46.0588535,14.5019969",31,42,52,46.0588535,14.501996,"46.0588535, 14.501996"
Spain,Barcelona,KGB,"https://www.google.com/maps/?q=41.4076542,2.1624001",31,42,51,41.4076542,2.162400,"41.4076542, 2.162400"
Spain,Barcelona,Zeleste,"https://www.google.com/maps/?q=41.3977323,2.1911108",31,42,51,41.3977323,2.191110,"41.3977323, 2.191110"
Spain,Barcelona,Zeleste 2,"https://www.google.com/maps/?q=41.3977323,2.1911108",31,42,51,41.3977323,2.191110,"41.3977323, 2.191110"
Spain,Bergara,Sala Jam,"https://www.google.com/maps/?q=43.1236755,-2.422788",31,42,51,43.1236755,-2.42278,"43.1236755, -2.42278"
Spain,Lakuntza,Sala Matraka,"https://www.google.com/maps/?q=42.9206346,-2.029202",31,42,51,42.9206346,-2.02920,"42.9206346, -2.02920"
Spain,Madrid,Revolver,"https://www.google.com/maps/?q=40.4206923,-3.7074173",31,42,52,40.4206923,-3.707417,"40.4206923, -3.707417"
Spain,Oviedo,Sala Antiquo,"https://www.google.com/maps/?q=43.3605556,-5.8438889",31,42,52,43.3605556,-5.843888,"43.3605556, -5.843888"
Spain,Santiago de Compostela,Sala Numero K,"https://www.google.com/maps/?q=42.880497,-8.545698",31,41,50,42.880497,-8.54569,"42.880497, -8.54569"
Spain,Valencia,Zeppelin Rock,"https://www.google.com/maps/?q=39.469799,-0.377398",31,41,50,39.469799,-0.37739,"39.469799, -0.37739"
Spain,Zaragoza,En Bruto,"https://www.google.com/maps/?q=41.6424077,-0.884818",31,42,51,41.6424077,-0.88481,"41.6424077, -0.88481"
Sweden,Gavle,Cafe Q,"https://www.google.com/maps/?q=60.674066,17.1511534",31,41,51,60.674066,17.151153,"60.674066, 17.151153"
Sweden,Jonkoping,Kulturhuset,"https://www.google.com/maps/?q=57.7854308,14.1562813",31,42,52,57.7854308,14.156281,"57.7854308, 14.156281"
Sweden,Linkoping,Rock Lamour,"https://www.google.com/maps/?q=58.4180661,15.6252662",31,42,52,58.4180661,15.625266,"58.4180661, 15.625266"
Sweden,Lund,Mejeriet,"https://www.google.com/maps/?q=55.696097,13.188529",31,41,50,55.696097,13.18852,"55.696097, 13.18852"
Sweden,Stockholm,Kolingsborg,"https://www.google.com/maps/?q=59.320658,18.0713951",31,41,51,59.320658,18.071395,"59.320658, 18.071395"
Sweden,Umea,Galaxen,"https://www.google.com/maps/?q=63.8576119,20.3356744",31,42,52,63.8576119,20.335674,"63.8576119, 20.335674"
Switzerland,Geneva,L'Usine,"https://www.google.com/maps/?q=46.203971,6.1360179",31,41,50,46.203971,6.136017,"46.203971, 6.136017"
Switzerland,Zurich,Provitreff House,"https://www.google.com/maps/?q=47.3877257,8.5297237",31,42,51,47.3877257,8.529723,"47.3877257, 8.529723"
Switzerland,Zurich,Rote Fabrik,"https://www.google.com/maps/?q=47.343558,8.5358291",31,41,50,47.343558,8.535829,"47.343558, 8.535829"
USA,Akron,Jackie Lee's Scooterz Entertainment Center,"https://www.google.com/maps/?q=41.0160279,-81.5514864",31,42,53,41.0160279,-81.551486,"41.0160279, -81.551486"
USA,Albany,S.U.N.Y. Albany,"https://www.google.com/maps/?q=42.6819357,-73.8283946",31,42,53,42.6819357,-73.828394,"42.6819357, -73.828394"
USA,Albuquerque,Five Points Hall,"https://www.google.com/maps/?q=35.0574841,-106.7409184",31,42,54,35.0574841,-106.740918,"35.0574841, -106.740918"
USA,Albuquerque,Sunshine Music Hall,"https://www.google.com/maps/?q=35.0839449,-106.6490715",31,42,54,35.0839449,-106.649071,"35.0839449, -106.649071"
USA,Ames,Hunky Dory's,"https://www.google.com/maps/?q=42.0061761,-93.6127856",31,42,53,42.0061761,-93.612785,"42.0061761, -93.612785"
USA,Amherst,University of Massachusetts,"https://www.google.com/maps/?q=42.390842,-72.5276558",31,41,52,42.390842,-72.527655,"42.390842, -72.527655"
USA,Anchorage,Egan Center,"https://www.google.com/maps/?q=61.2177359,-149.8916534",31,42,54,61.2177359,-149.891653,"61.2177359, -149.891653"
USA,Ann Arbor,University of Michigan Ballrooom,"https://www.google.com/maps/?q=42.2752282,-83.7415148",31,42,53,42.2752282,-83.741514,"42.2752282, -83.741514"
USA,Annapolis,Unitarian Church,"https://www.google.com/maps/?q=38.9990565,-76.5245258",31,42,53,38.9990565,-76.524525,"38.9990565, -76.524525"
USA,Asheville,Asheville Music Zone,"https://www.google.com/maps/?q=35.5948675,-82.5530254",31,42,53,35.5948675,-82.553025,"35.5948675, -82.553025"
USA,Athens,40 Watt,"https://www.google.com/maps/?q=33.9582921,-83.3800616",31,42,53,33.9582921,-83.380061,"33.9582921, -83.380061"
USA,Atlanta,Excelsior Mill,"https://www.google.com/maps/?q=33.7706759,-84.3644324",31,42,53,33.7706759,-84.364432,"33.7706759, -84.364432"
USA,Atlanta,First Existentialist Church,"https://www.google.com/maps/?q=33.7669836,-84.3396948",31,42,53,33.7669836,-84.339694,"33.7669836, -84.339694"
USA,Atlanta,Masquerade,"https://www.google.com/maps/?q=33.7706759,-84.3644324",31,42,53,33.7706759,-84.364432,"33.7706759, -84.364432"
USA,Austin,Emo's,"https://www.google.com/maps/place/603+Red+River+St,+Austin,+TX+78701,+USA/@30.2667251,-97.7370537,21z/data=!4m6!3m5!1s0x8644b5a66e2df36d:0x8b92aba0550c8286!8m2!3d30.2667148!4d-97.7369582!16s%2Fg%2F11rp1xbf4s?entry=ttu&g_ep=EgoyMDI1MDkxNy4wIKXMDSoASAFQAw%3D%3D",75,86,98,30.2667251,-97.7370537,"30.2667251, -97.7370537"
USA,Austin,Liberty Lunch,"https://www.google.com/maps/?q=30.2655522,-97.7490488",31,42,53,30.2655522,-97.749048,"30.2655522, -97.749048"
