live_show,fls_available,fls_id,datestring,fls_link,Title,Url,Length,Seconds,link
0,,,,,Why Fugazi is the Greatest Band of All Time,https://www.youtube.com/watch?v=XeEAqRIzfJA&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=1&pp=iAQB,00:14:15,855,
0,,,,,Fugazi: The Path of Most Resistance,https://www.youtube.com/watch?v=yv_fR57qNoY&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=2,00:16:19,979,
1,1,,,,"Fugazi Live At Wilson Center, Washington, DC, 1987-09-03 [FIRST SHOW]",https://www.youtube.com/watch?v=WptWHU2I_Gw&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=3&pp=iAQB,00:32:03,1923,
1,1,,,,Fugazi - Live at d.c. space - 1987 (full set),https://www.youtube.com/watch?v=VFpmACD4BKg&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=4&pp=iAQB,00:53:07,3187,
1,1,,,,"Fugazi - 9.30 Club, Washington 15th June 1988",https://www.youtube.com/watch?v=5dOBXK35U5U&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=5&pp=iAQB,00:44:13,2653,
1,1,,,,"Fugazi (US) Live @ Democrazy, Gent, Belgium. October 16th 1988 (Soundboard & restored/mastered)",https://www.youtube.com/watch?v=N7C-j1zZvbE&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=6,00:45:02,2702,
1,1,,,,Fugazi at Van Hall Amsterdam 16 october 1988 full set,https://www.youtube.com/watch?v=8r_imog31V4&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=7&pp=iAQB,00:39:41,2381,
1,1,,,,Fugazi at Wilson Center 1988,https://www.youtube.com/watch?v=C0OzCNk5sFk&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=12&pp=iAQB,00:05:34,334,
1,1,,,,Fugazi at Wilson Center 12-29-88 Suggestion w/ Amy Pickering,https://www.youtube.com/watch?v=-k1iK4nyS8o&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=13&pp=iAQB,00:07:29,449,
1,1,,,,Fugazi 12-29-88 Wilson Center Give Me The Cure.mov,https://www.youtube.com/watch?v=Ybf-4n9xPCM&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=14&pp=iAQB,00:03:03,183,
1,1,,,,Fugazi - Waiting Room (Live 29.12.88) [50FPS 576p] READ DESCRIPTION!,https://www.youtube.com/watch?v=UKc0-cZeF4c&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=15&pp=iAQB,00:03:12,192,
1,1,,,,Fugazi -  Waiting Room,https://www.youtube.com/watch?v=SGJFWirQ3ks&list=PLXzdYKOUH6xj_x0Uz273TSbqMFrG80fBn&index=16&pp=iAQB,00:03:12,192,
