"","release","releaseid","releasedate","rating","songs_rated"
"1","the argument",9,"2001-10-11",0.802814614089798,10
"2","end hits",8,"1998-04-27",0.796793954830157,13
"3","repeater",4,"1990-03-20",0.77993874815378,11
"4","fugazi",1,"1988-11-19",0.742055391067586,7
"5","red medicine",7,"1995-08-14",0.733880440884398,13
"6","in on the killtaker",6,"1993-06-30",0.733660724928081,12
"7","margin walker",2,"1989-06-15",0.629182270671904,6
"8","3 songs",3,"1990-01-15",0.627071727420975,3
"9","steady diet of nothing",5,"1991-07-15",0.6258808245959,11
"10","furniture",10,"2001-10-15",0.553068757587656,3
