"","release","releaseid","releasedate","songs_rated","rating","rym_rating"
"1","furniture",10,"16/10/2001",3,0.87541404959,0.734
"2","end hits",8,"24/04/1998",13,0.747128483619283,0.734
"3","margin walker",2,"15/06/1989",6,0.722006315373225,0.744
"4","red medicine",7,"12/05/1995",13,0.71033494637733,0.762
"5","steady diet of nothing",5,"01/08/1991",11,0.697839581602626,0.708
"6","fugazi",1,"19/11/1988",7,0.657966503472383,0.796
"7","repeater",4,"01/03/1990",11,0.632672035299788,0.774
"8","the argument",9,"16/10/2001",10,0.630485101565585,0.778
"9","3 songs",3,"01/12/1989",3,0.61326199989763,0.656
"10","in on the killtaker",6,"18/06/1993",12,NA,0.756
